Statistical profiling result from isolate-0x103000000-v8.log, (4126 ticks, 516 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/index.js:109:51
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/decode.js:100:30
      2    0.0%    0.1%  LazyCompile: *writeOrBuffer _stream_writable.js:296:23
      2    0.0%    0.1%  LazyCompile: *toB58String /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multihashes/src/index.js:19:44
      2    0.0%    0.1%  LazyCompile: *toArrayLike /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:524:51
      2    0.0%    0.1%  LazyCompile: *select /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multistream-select/src/select.js:8:17
      2    0.0%    0.1%  LazyCompile: *reset /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/utils.js:178:41
      2    0.0%    0.1%  LazyCompile: *reader.read /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/index.js:90:26
      2    0.0%    0.1%  LazyCompile: *read /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-defer/source.js:5:23
      2    0.0%    0.1%  LazyCompile: *pull /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/pull.js:3:32
      2    0.0%    0.1%  LazyCompile: *onwrite _stream_writable.js:356:17
      2    0.0%    0.1%  LazyCompile: *ondata /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:543:18
      2    0.0%    0.1%  LazyCompile: *onFrameHead /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/parser.js:78:52
      2    0.0%    0.1%  LazyCompile: *next native collection-iterator.js:65:27
      2    0.0%    0.1%  LazyCompile: *map native array.js:833:18
      2    0.0%    0.1%  LazyCompile: *hash /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/keys/rsa.js:38:8
      2    0.0%    0.1%  LazyCompile: *getPeerInfo /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/interface-connection/src/connection.js:25:15
      2    0.0%    0.1%  LazyCompile: *fromString buffer.js:194:20
      2    0.0%    0.1%  LazyCompile: *from native array.js:1065:19
      2    0.0%    0.1%  LazyCompile: *forEach native array.js:795:22
      2    0.0%    0.1%  LazyCompile: *drain /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/index.js:32:18
      2    0.0%    0.1%  LazyCompile: *doWork /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/src/wantmanager/msg-queue.js:43:10
      2    0.0%    0.1%  LazyCompile: *decodeFromReader /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/decode.js:38:26
      2    0.0%    0.1%  LazyCompile: *decode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/asn1.js/lib/asn1/base/node.js:272:41
      2    0.0%    0.1%  LazyCompile: *dataFrame /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/framer.js:326:48
      2    0.0%    0.1%  LazyCompile: *allocate buffer.js:177:18
      2    0.0%    0.1%  LazyCompile: *_write /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/stream.js:180:42
      2    0.0%    0.1%  LazyCompile: *_split /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/stream.js:204:42
      2    0.0%    0.1%  LazyCompile: *_initArray /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:143:49
      2    0.0%    0.1%  LazyCompile: *Transform.push /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_transform.js:121:37
      2    0.0%    0.1%  LazyCompile: *ToIndex native runtime.js:16:17
      2    0.0%    0.1%  LazyCompile: *Stream /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/stream.js:14:16
      2    0.0%    0.1%  LazyCompile: *Socket.write net.js:656:34
      2    0.0%    0.1%  LazyCompile: *RegExpSplit native regexp.js:295:21
      2    0.0%    0.1%  LazyCompile: *Readable.on _stream_readable.js:686:33
      2    0.0%    0.1%  LazyCompile: *Protocols /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multiaddr/src/protocols.js:7:20
      2    0.0%    0.1%  LazyCompile: *PriorityNode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/priority.js:9:22
      2    0.0%    0.1%  LazyCompile: *Module._load module.js:413:24
      2    0.0%    0.1%  LazyCompile: *InnerArrayForEach native array.js:777:27
      2    0.0%    0.1%  LazyCompile: *FastBuffer buffer.js:10:14
      2    0.0%    0.1%  LazyCompile: *EncoderBuffer /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/asn1.js/lib/asn1/base/buffer.js:65:23
      2    0.0%    0.1%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/async/internal/setImmediate.js:24:41
      2    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {2}
      2    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot
      2    0.0%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {2}
      2    0.0%    0.1%  Handler: length
      2    0.0%    0.1%  Handler: An IC handler from the snapshot {2}
      2    0.0%    0.1%  Handler: An IC handler from the snapshot {1}
      2    0.0%    0.1%  Handler: An IC handler from the snapshot {12}
      2    0.0%    0.1%  Handler: An IC handler from the snapshot {10}
      2    0.0%    0.1%  Builtin: TypedArrayPrototypeLength
      2    0.0%    0.1%  Builtin: TypedArrayPrototypeBuffer
      2    0.0%    0.1%  Builtin: ObjectHasOwnProperty
      2    0.0%    0.1%  Builtin: MathMin
      2    0.0%    0.1%  Builtin: JSEntryTrampoline
      1    0.0%    0.0%  Stub: TypeofStub
      1    0.0%    0.0%  Stub: ToBooleanICStub(Bool,SpecObject)
      1    0.0%    0.0%  Stub: StringEqualStub
      1    0.0%    0.0%  Stub: StoreTransitionStub {2}
      1    0.0%    0.0%  Stub: StoreTransitionStub
      1    0.0%    0.0%  Stub: StoreFieldStub {9}
      1    0.0%    0.0%  Stub: StoreFieldStub {8}
      1    0.0%    0.0%  Stub: StoreFieldStub {7}
      1    0.0%    0.0%  Stub: StoreFieldStub {6}
      1    0.0%    0.0%  Stub: StoreFieldStub {5}
      1    0.0%    0.0%  Stub: StoreFieldStub {3}
      1    0.0%    0.0%  Stub: StoreFieldStub {2}
      1    0.0%    0.0%  Stub: StoreFieldStub
      1    0.0%    0.0%  Stub: RegExpExecStub
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {11}
      1    0.0%    0.0%  Stub: RecordWriteStub {10}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: LoadFieldStub {2}
      1    0.0%    0.0%  Stub: LoadFieldStub {1}
      1    0.0%    0.0%  Stub: LoadConstantStub {6}
      1    0.0%    0.0%  Stub: LoadConstantStub {5}
      1    0.0%    0.0%  Stub: LoadConstantStub {4}
      1    0.0%    0.0%  Stub: LoadConstantStub {2}
      1    0.0%    0.0%  Stub: FastNewSloppyArgumentsStub
      1    0.0%    0.0%  Stub: FastCloneShallowObjectStub
      1    0.0%    0.0%  Stub: CompareICStub {9}
      1    0.0%    0.0%  Stub: CompareICStub {8}
      1    0.0%    0.0%  Stub: CompareICStub {7}
      1    0.0%    0.0%  Stub: CompareICStub {5}
      1    0.0%    0.0%  Stub: CompareICStub {4}
      1    0.0%    0.0%  Stub: CompareICStub {3}
      1    0.0%    0.0%  Stub: CompareICStub
      1    0.0%    0.0%  Stub: CallICStub(args(7), ANY, 
      1    0.0%    0.0%  Stub: CallApiGetterStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub {1}
      1    0.0%    0.0%  Stub: CEntryStub {1}
      1    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub(ADD_CreateAllocationMementos:Smi*String->String)
      1    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      1    0.0%    0.0%  Stub: BinaryOpICStub {4}
      1    0.0%    0.0%  Stub: BinaryOpICStub {3}
      1    0.0%    0.0%  Stub: BinaryOpICStub {2}
      1    0.0%    0.0%  Stub: BinaryOpICStub
